"","period","season","min_TS.5","max_TS.5","min_Ta","max_Ta","min_wtd","max_wtd","day_wtd","day_wtd2","wtmd","wtms","day_precip","TS.5","TS.10","TS.50","RH","PARin","SWin","VPD","Precip","PA","Ta","SWC","ET","wtd","br","albedo","LST","G","G_corr"
"1","2016-2017","non-growing season",0.620578604166667,13.8654510416667,-6.06474622916667,15.7352904166667,-0.187403696101093,0.16870634047309,153,14,29,153,147,6.46102490887304,6.54041099605935,8.27919506832817,86.2791712091931,1797.24955716424,53.0965468566265,0.132786233848267,981,101.35943610689,5.34059617260443,85.3788290672367,62.5011063829733,0.0731505389447885,-3.32218561595025,0.2121700878383,5.20680763425032,-2.56464747362575,6.7964936272451
"2","2016-2017","growing season",9.4623010625,19.5386335416667,7.02960191666667,22.3171102083333,-0.167410372222222,0.155173397775607,114,40,69,114,57,16.3511208224044,15.9647262265483,13.8548293468807,78.865579401184,7979.16428392964,221.22460857286,0.456504678534694,315.6,101.56612192623,15.2376608380009,73.3434228492441,593.754467897799,0.0224970799271637,-0.564161734457773,0.160372984261954,17.1281871341535,5.25102447322784,24.2010839802916
"3","2017-2018","non-growing season",2.58097264583333,13.983985,-2.55568808333333,13.1099737083333,-0.16628018852954,0.151494564638889,140,17,42,140,128,6.90846729143773,6.88024118246337,8.42927233774038,87.8274578857601,2041.44416933098,62.4147590145375,0.12870824901414,909.6,101.784905649038,5.62427684317766,84.0784174178022,90.4547229808579,0.060325182777582,-1.80821120430222,0.161010149745658,5.89337449850706,-1.99049346629188,7.79056007635257
"4","2017-2018","growing season",9.07605947916667,19.3375752083333,5.87260295833333,23.2928102083333,-0.226982149917183,0.135221276825955,79,72,104,79,66,15.8036427769809,15.4239665688752,13.6744337988388,79.6953885849271,7779.21050844284,219.800970188866,0.455285820861782,289.3,101.710625587432,15.3276317797131,76.9939927279144,665.70833346414,-0.0477158765106624,0.261995568513787,0.159873848068705,17.1321335874681,3.59178689966606,21.321245666924
"5","2018-2019","non-growing season",2.3737881875,14.0482133333333,-4.57833033333333,14.3245485416667,-0.121758748979688,0.137055958014323,149,23,33,149,115,6.86513999181548,6.87642739966804,8.41395162791896,86.5597572264194,2532.14371096592,74.7209553385989,0.145016256155596,710.2,101.739937323146,5.50952000320513,86.7572766403846,100.180993279713,0.0435402674160523,-0.355679457433602,0.197296924193209,5.71939989238833,-3.0984175121516,6.78551557729499
"6","2018-2019","growing season",10.5430745833333,18.616695,8.1155258125,22.5737979166667,-0.191514514411893,0.0977119153263886,69,55,114,69,68,15.8376511634791,15.5587841063297,13.9494663127277,81.1488626292122,8764.43778440766,215.857139668716,0.398670946830726,350.6,101.63105340847,15.341799425888,80.3364855228597,474.895412358828,-0.0444903156977912,4.96829978833259,0.151579115585207,17.203375173699,3.58698311199579,19.901421173721
"7","2019-2020","non-growing season",2.93221652083333,12.6540883333333,-7.45193622916667,12.1655170833333,-0.0682697165086809,0.140459667690755,163,0,20,163,134,6.94521762033242,6.96600346818078,8.62198693579235,89.090485488388,2312.01321947986,65.3140142019581,0.112664000094618,857.5,101.815786265938,5.60365439623178,86.7562139609654,101.158712947951,0.0610473762823159,-5.1315937045415,0.16602281966386,5.82496491553206,-2.89143584891369,5.74472363804699
"8","2019-2020","growing season",8.77804739583333,19.0041245833333,5.4445531875,22.6676747916667,-0.139160875,0.0829263447265622,103,29,80,103,72,15.7326405069444,15.4338097961066,13.8680695336976,81.7035209437614,8442.2023755979,215.473671418147,0.388657800450722,311.4,101.722678504098,15.0562826300091,80.5772561265574,452.806366352882,-0.0152262517633602,-0.471096658699232,0.152228827511281,16.9532099745092,3.4981221860496,20.7876524528512
"9","2020-2021","non-growing season",3.038751875,14.9819041666667,-2.0604100625,14.7118835625,-0.0601185802083333,0.134905277083333,169,0,13,169,132,7.37152254555861,7.45268792593864,9.00567207154304,89.5669179876374,1954.0663242447,62.1457835612408,0.109357773461332,841.7,101.809326045101,6.22603399759615,86.8410290384615,97.4116651410574,0.073563762006962,1.72475041355731,0.177777069844391,5.78524772100308,-2.79290211870652,4.15521754419616
"10","2020-2021","growing season",8.60563164583333,20.4230264583333,5.44350489583333,29.4387810416667,-0.227136025,0.080839833125,67,84,116,67,61,15.4323819330601,15.1689354285064,13.6947703861566,81.2945409562842,8407.43082935994,227.519944487705,0.424482415377105,271.3,101.741400359745,15.4459834928279,85.5970562739071,562.359815375195,-0.0751753976366161,-4.14566419774463,0.157609630246229,17.3477084179985,3.49213681171342,21.2057455343192
