"","period","season","min_TS.5","max_TS.5","min_wtd","max_wtd","day_wtd","day_wtd2","day_precip","TS.5","TS.10","TS.50","RH","PARin","SWin","VPD","Precip","PA","Ta","SWC","wtd"
"1","2015-2016","growing season",12.2390908333333,20.7951320833333,-0.21024869375,0.0779096752083333,47,63,66,17.0833514560565,16.8269388763661,14.7635817412341,77.9312641279599,8139.14834112176,221.764720612477,0.477149277940574,201.3,101.678122153916,15.5410703468807,77.8938486862477,-0.0565912638691716
"2","2015-2016","non-growing season",2.16809670833333,14.575830625,-0.19936863125,0.151525822916667,154,8,145,7.88944858806147,7.92821080723656,7.69993011851852,87.5664166788019,2057.14315479883,58.9969547759829,0.147268862850354,901.6,101.421141158489,6.85553182285006,87.2451687883192,0.0537398479456798
"3","2016-2017","growing season",9.4623010625,19.5386335416667,-0.167410345833333,0.155173385416667,114,40,57,16.3511208224044,15.9647262265483,13.8548293468807,78.865579401184,7979.164244197,221.22460857286,0.456504676018443,315.6,101.56612192623,15.2376608380009,73.3311018374317,0.0224970791120105
"4","2016-2017","non-growing season",0.620578604166667,13.8654510416667,-0.184964308333333,0.168706358333333,153,14,147,6.46104177564103,6.54044460359432,8.27920178514194,86.280080694826,1762.02218630621,53.0871216223672,0.132770013072797,981,101.359436240842,5.34030540922619,85.3938176671245,0.0731676914086298
"5","2017-2018","growing season",9.07605947916667,19.3375752083333,-0.226078795833333,0.135221270833333,79,72,66,15.8036427769809,15.4239665688752,13.6744337988388,79.6953885849271,7779.21045012493,219.800970188866,0.455285821907592,289.3,101.710625587432,15.3276317797131,76.9939927185792,-0.0476692300922302
"6","2017-2018","non-growing season",2.58097264583333,13.983985,-0.165072079166667,0.151494566666667,140,17,128,6.90846729544414,6.88024118658425,8.42927234180403,87.8274578869048,1948.80917552976,62.406313501717,0.12870824864395,909.6,101.784905654762,5.62427684323489,84.0784181639194,0.0603393420285772
"7","2018-2019","growing season",10.5430745833333,18.616695,-0.191514514583333,0.0977119145833333,69,55,68,15.8376511623406,15.5587841063297,13.9494663155738,81.148862628643,8656.2502231623,215.856849368169,0.398670945933748,350.6,101.631053419854,15.341799425888,80.3364860780965,-0.0444903154089353
"8","2018-2019","non-growing season",2.3737881875,14.0482133333333,-0.12175874375,0.137055958333333,149,23,115,6.86513999175824,6.87642739972527,8.41395162728938,86.5597572321429,2374.75831162144,74.7197682964744,0.145016255672893,710.2,101.739937340888,5.50952000538004,86.7572781112637,0.0435402673411287
"9","2019-2020","growing season",8.77804739583333,19.0041245833333,-0.139160872916667,0.082926345,103,29,72,15.7326405126366,15.4338098017987,13.8680695336976,81.7035209437614,8389.56480126601,215.472877929986,0.3886578019585,311.4,101.722678504098,15.0562826300091,80.5772563091985,-0.0152262510231979
"10","2019-2020","non-growing season",2.93221652083333,12.6540883333333,-0.0682697083333333,0.1404596625,163,0,134,6.94521762033242,6.96600346801002,8.62198693579235,89.0904854861111,2192.91648957317,65.3093306864754,0.11266400051816,857.5,101.815786265938,5.60365439623178,86.7562153847905,0.061047376875148
"11","2020-2021","growing season",8.60563164583333,20.4230264583333,-0.226083472916667,0.0808398391666667,67,84,61,15.4323819137067,15.1689354558288,13.6947704624317,81.2945409562842,8407.43081825394,227.519305826503,0.424482414734917,271.3,101.741400359745,15.4459834928279,85.5970566791894,-0.0748347150907869
"12","2020-2021","non-growing season",3.038751875,14.9819041666667,-0.060118583125,0.13490526875,169,0,132,7.37152254555861,7.45268792593864,9.00567207154304,89.5669179876374,1942.39569414728,62.1449078744277,0.109357773432938,841.7,101.809326045101,6.22603399759615,86.8410290384615,0.0735637621059467
